name,affiliations,last_5_year_total,first_author_total,corresponding_author_total,top_total,a_plus_total,a_total,a1_total,a2_total,level_counts_json,paper_links,paper_titles,journals,years,author_roles,is_likely_chinese_name,chinese_name_score,name_filter_reason,review_status
Yanhui Wang,"Shanghai Jiao Tong University; Donghua University; Dongbei University of Finance and Economics; Chinese University of Hong Kong, Shenzhen",1,0,1,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1057/s41267-026-00854-x,Bond market liberalization and corporate investment,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,corresponding_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Yaohua Hu,"School of Mathematical Sciences, Shenzhen University, Shenzhen 518060, People’s Republic of China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2025.1095,ℓ1-2 Regularization for Sparse Optimization: Consistency and Global Convergence,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Yiding Feng,"Department of Industrial Engineering and Decision Analytics, The Hong Kong University of Science and Technology, Hong Kong S.A.R., China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/opre.2023.0556,No-Regret Bayesian Recommendation to Homogeneous Users,OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Yifan Yu,"HKU Business School, The University of Hong Kong, Hong Kong, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2025/17965,The Pleasant Visual Path to Review Helpfulness: Picture-Evoked Emotional Valence and Picture-Text Alignment,MIS QUARTERLY,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Yijiao Zhang,"Department of Biostatistics, Epidemiology and Informatics, University of Pennsylvania",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1080/01621459.2026.2641242,Individualized Dynamic Mediation Analysis Using Latent Factor Models,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Yike Wang,"School of Finance, Chongqing Technology and Business University, Chongqing 400067, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/moor.2024.0771,Consumption-Portfolio Optimization with Regime- Switching-Modulated Habit Formation and Jump Diffusion,MATHEMATICS OF OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Yilun Chen,"School of Data Science, School of Management and Economics, The Chinese University of Hong Kong, Shenzhen, Shenzhen, Guangdong 518172, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/opre.2024.0730,Feature-Based Dynamic Matching,OPERATIONS RESEARCH,2026,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
Ying Lu,"Department of Information Systems and Technology, IE Business School, IE University, 28006 Madrid, Spain",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1287/mnsc.2022.04133,How Search Engine Impacts Market Structure: Empirical Evidence from a Multivendor Darknet Market,MANAGEMENT SCIENCE,2026,first_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Yipeng Tang,Hainan University; Vrije Universiteit Amsterdam; Zhongnan University of Economics and Law,1,0,1,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.1057/s41267-025-00834-7,Bottom-up innovation under uncertainty: the role of face concerns in shaping overt and covert innovation across cultures,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,2026,corresponding_author,1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length",strong_candidate
Yiting Guo,"Department of Management Science, School of Management Xiamen University, Xiamen, China",1,1,0,0,1,0,0,0,"{""A+"": 1}",https://doi.org/10.25300/misq/2025/17909,Does Bot Gender Matter? Theory and Evidence From a High-Tension Service Context,MIS QUARTERLY,2025,first_author,1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length",strong_candidate
