name,author_role,paper_id,title,journal,achievement_level,year,doi,paper_url,source,affiliations,is_likely_chinese_name,chinese_name_score,name_filter_reason
Feng Ju,corresponding_author,1956,Deep reinforcement learning based dynamic printing control in Large Format Additive Manufacturing,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2649852,https://doi.org/10.1080/24725854.2026.2649852,"openalex,crossref","School of Computing and Augmented Intelligence, Arizona State University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Manni Zhang,first_author,2045,Directed graphical models for root cause analysis in multimodal systems collecting heterogeneous data,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2025.2602826,https://doi.org/10.1080/24725854.2025.2602826,crossref,"Edwardson School of Industrial Engineering, Purdue University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Shiming Deng,corresponding_author,1981,Dynamic and static item allocation for the in-store front warehouses,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2628709,https://doi.org/10.1080/24725854.2026.2628709,"openalex,crossref","School of Management, Huazhong University of Science and Technology",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Hui Yang,corresponding_author,1962,Generative adversarial networks for resilient design of manufacturing systems,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2642363,https://doi.org/10.1080/24725854.2026.2642363,"openalex,crossref","Department of Industrial and Manufacturing Engineering, The Pennsylvania State University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Xizhuo (Cici) Zhang,first_author,405,Geometry-aware active learning of spatiotemporal dynamic systems,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2655757,https://doi.org/10.1080/24725854.2026.2655757,"openalex,crossref","Department of Industrial & Systems Engineering, The University of Tennessee",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Ji Song,first_author,2050,High dimensional data decomposition for anomaly detection of textured images,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2025.2606372,https://doi.org/10.1080/24725854.2025.2606372,crossref,"Department of Industrial Engineering, Tsinghua University",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Jingwen Wu,first_author,1960,How to deploy food distribution networks based on blockchain,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2646936,https://doi.org/10.1080/24725854.2026.2646936,"openalex,crossref","School of Management, Shanghai University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Lu Zhen,corresponding_author,1960,How to deploy food distribution networks based on blockchain,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2646936,https://doi.org/10.1080/24725854.2026.2646936,"openalex,crossref","School of Management, Shanghai University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Zihan Yu,first_author,1961,IoT event data monitoring and prediction considering within- and between-event correlations,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2648049,https://doi.org/10.1080/24725854.2026.2648049,"openalex,crossref","Department of Industrial Engineering, Tsinghua University",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Kaibo Wang,corresponding_author,1961,IoT event data monitoring and prediction considering within- and between-event correlations,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2026.2648049,https://doi.org/10.1080/24725854.2026.2648049,"openalex,crossref","Department of Industrial Engineering, Tsinghua University; Vanke School of Public Health, Tsinghua University",1,0.85,"chinese_surname,pinyin_given_name_shape,chinese_context,person_name_length"
Yajing Chen,first_author,1992,Joint bundle design and pricing for extended warranty providers servicing multi-tier products,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2025.2612181,https://doi.org/10.1080/24725854.2025.2612181,"openalex,crossref","School of Management Science and Engineering, Dongbei University of Finance and Economics",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Yanrong Li,corresponding_author,1992,Joint bundle design and pricing for extended warranty providers servicing multi-tier products,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2025.2612181,https://doi.org/10.1080/24725854.2025.2612181,"openalex,crossref","Department of Industrial Systems Engineering and Management, National University of Singapore",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
Xiao-Lin Wang,corresponding_author,1992,Joint bundle design and pricing for extended warranty providers servicing multi-tier products,IISE TRANSACTIONS,A1,2026,10.1080/24725854.2025.2612181,https://doi.org/10.1080/24725854.2025.2612181,"openalex,crossref","Business School, Sichuan University",1,0.7,"chinese_surname,pinyin_given_name_shape,person_name_length"
